District,State,Population
Thane,Maharashtra,11060148
North Twenty Four Parganas,West Bengal,10009781
Bangalore,Karnataka,9621551
Pune,Maharashtra,9429408
Mumbai Suburban,Maharashtra,9356962
South Twenty Four Parganas,West Bengal,8161961
Barddhaman,West Bengal,7717563
Ahmadabad,Gujarat,7214225
Murshidabad,West Bengal,7103807
Jaipur,Rajasthan,6626178
Nashik,Maharashtra,6107187
Surat,Gujarat,6081322
Allahabad,Uttar Pradesh,5954391
Paschim Medinipur,West Bengal,5913457
Patna,Bihar,5838465
Hugli,West Bengal,5519145
Rangareddy,Andhra Pradesh,5296741
Nadia,West Bengal,5167600
East Godavari,Andhra Pradesh,5154296
Purbi Champaran,Bihar,5099371
Purba Medinipur,West Bengal,5095875
Guntur,Andhra Pradesh,4887813
Haora,West Bengal,4850029
Muzaffarpur,Bihar,4801062
Belgaum,Karnataka,4779661
Moradabad,Uttar Pradesh,4772006
Ghaziabad,Uttar Pradesh,4681645
Nagpur,Maharashtra,4653570
Chennai,Tamil Nadu,4646732
Azamgarh,Uttar Pradesh,4613913
Lucknow,Uttar Pradesh,4589838
Kanpur Nagar,Uttar Pradesh,4581268
Ahmadnagar,Maharashtra,4543159
Krishna,Andhra Pradesh,4517398
Kolkata,West Bengal,4496694
Jaunpur,Uttar Pradesh,4494204
Madhubani,Bihar,4487379
Sitapur,Uttar Pradesh,4483992
Bareilly,Uttar Pradesh,4448359
Gorakhpur,Uttar Pradesh,4440895
Agra,Uttar Pradesh,4418797
Gaya,Bihar,4391418
Solapur,Maharashtra,4317756
Visakhapatnam,Andhra Pradesh,4290589
Samastipur,Bihar,4261566
Jalgaon,Maharashtra,4229917
Chittoor,Andhra Pradesh,4174064
Vadodara,Gujarat,4165626
Muzaffarnagar,Uttar Pradesh,4143512
Malappuram,Kerala,4112920
Hardoi,Uttar Pradesh,4092845
Anantapur,Andhra Pradesh,4081148
Raipur,Chhattisgarh,4063872
Kurnool,Andhra Pradesh,4053463
Mahbubnagar,Andhra Pradesh,4053028
Kheri,Uttar Pradesh,4021243
Kancheepuram,Tamil Nadu,3998252
Maldah,West Bengal,3988845
Saran,Bihar,3951862
Hyderabad,Andhra Pradesh,3943323
Darbhanga,Bihar,3937385
West Godavari,Andhra Pradesh,3936966
Vellore,Tamil Nadu,3936331
Pashchim Champaran,Bihar,3935042
Kolhapur,Maharashtra,3876001
Jalpaiguri,West Bengal,3872846
Rajkot,Gujarat,3804558
Sultanpur,Uttar Pradesh,3797117
Karimnagar,Andhra Pradesh,3776269
Thiruvallur,Tamil Nadu,3728104
Aurangabad,Maharashtra,3701282
Jodhpur,Rajasthan,3687165
Bijnor,Uttar Pradesh,3682713
Budaun,Uttar Pradesh,3681896
Varanasi,Uttar Pradesh,3676841
Alwar,Rajasthan,3674179
Aligarh,Uttar Pradesh,3673889
North West Delhi,Delhi,3656539
Ghazipur,Uttar Pradesh,3620268
Bankura,West Bengal,3596674
Kushinagar,Uttar Pradesh,3564544
Ganjam,Orissa,3529031
Warangal,Andhra Pradesh,3512576
Birbhum,West Bengal,3502404
Bulandshahar,Uttar Pradesh,3499171
Ludhiana,Punjab,3498739
Vaishali,Bihar,3495021
Nalgonda,Andhra Pradesh,3488809
Bahraich,Uttar Pradesh,3487731
Salem,Tamil Nadu,3482056
Saharanpur,Uttar Pradesh,3466382
Viluppuram,Tamil Nadu,3458873
Coimbatore,Tamil Nadu,3458045
Meerut,Uttar Pradesh,3443689
Gonda,Uttar Pradesh,3433919
Sitamarhi,Bihar,3423574
Rae Bareli,Uttar Pradesh,3405559
Prakasam,Andhra Pradesh,3397448
Nanded,Maharashtra,3361292
Durg,Chhattisgarh,3343872
Siwan,Bihar,3330464
Nagaur,Rajasthan,3307743
Thiruvananthapuram,Kerala,3301427
Ernakulam,Kerala,3282388
Indore,Madhya Pradesh,3276697
Purnia,Bihar,3264619
Barabanki,Uttar Pradesh,3260699
Ballia,Uttar Pradesh,3239774
Pratapgarh,Uttar Pradesh,3209141
Thrissur,Kerala,3121200
Banaskantha,Gujarat,3120506
Unnao,Uttar Pradesh,3108367
Deoria,Uttar Pradesh,3100946
Kozhikode,Kerala,3086293
Mumbai City,Maharashtra,3085411
Tirunelveli,Tamil Nadu,3077233
Katihar,Bihar,3071029
Udaipur,Rajasthan,3068420
Madurai,Tamil Nadu,3038252
Bhagalpur,Bihar,3037766
Medak,Andhra Pradesh,3033288
Uttar Dinajpur,West Bengal,3007134
Shahjahanpur,Uttar Pradesh,3006538
Satara,Maharashtra,3003741
Mysore,Karnataka,3001127
Begusarai,Bihar,2970541
Sri Potti Sriramulu Nellore,Andhra Pradesh,2963557
Rohtas,Bihar,2959918
Puruliya,West Bengal,2930115
Ranchi,Jharkhand,2914253
Amravati,Maharashtra,2888445
YSR,Andhra Pradesh,2882469
Bhavnagar,Gujarat,2880365
Nalanda,Bihar,2877653
Nagaon,Assam,2823768
Sangli,Maharashtra,2822143
Koch Bihar,West Bengal,2819086
Araria,Bihar,2811569
Palakkad,Kerala,2809934
Khammam,Andhra Pradesh,2797370
Yavatmal,Maharashtra,2772348
Junagadh,Gujarat,2743082
Adilabad,Andhra Pradesh,2741239
South Delhi,Delhi,2731929
Bhojpur,Bihar,2728407
Tiruchirappalli,Tamil Nadu,2722290
Srikakulam,Andhra Pradesh,2703114
Maharajganj,Uttar Pradesh,2684703
Dhanbad,Jharkhand,2684487
Tumkur,Karnataka,2678980
Sikar,Rajasthan,2677333
Bilaspur,Chhattisgarh,2663629
Kollam,Kerala,2635375
Raigarh,Maharashtra,2634200
Fatehpur,Uttar Pradesh,2632733
Cuttack,Orissa,2624470
Cuddalore,Tamil Nadu,2605914
Barmer,Rajasthan,2603751
Buldana,Maharashtra,2586258
Bid,Maharashtra,2585049
Ajmer,Rajasthan,2583052
Gulbarga,Karnataka,2566326
Gopalganj,Bihar,2562012
Siddharth Nagar,Uttar Pradesh,2559297
Nizamabad,Andhra Pradesh,2551335
Bharatpur,Rajasthan,2548462
Mathura,Uttar Pradesh,2547184
West Delhi,Delhi,2543243
Aurangabad,Bihar,2540073
Kannur,Kerala,2523003
Mayurbhanj,Orissa,2519738
Firozabad,Uttar Pradesh,2498156
Mirzapur,Uttar Pradesh,2496970
Amritsar,Punjab,2490656
Tiruppur,Tamil Nadu,2479052
Faizabad,Uttar Pradesh,2470996
Tiruvannamalai,Tamil Nadu,2464875
Basti,Uttar Pradesh,2464464
Jabalpur,Madhya Pradesh,2463289
Latur,Maharashtra,2454196
Bellary,Karnataka,2452595
Giridih,Jharkhand,2445474
Sabarkantha,Gujarat,2428589
Bhilwara,Rajasthan,2408523
Thanjavur,Tamil Nadu,2405890
Ambedkar Nagar,Uttar Pradesh,2397888
PanchMahal,Gujarat,2390776
Sagar,Madhya Pradesh,2378458
Bhopal,Madhya Pradesh,2371061
Rewa,Madhya Pradesh,2365106
Bikaner,Rajasthan,2363937
Surguja,Chhattisgarh,2359886
Vizianagaram,Andhra Pradesh,2344474
Rampur,Uttar Pradesh,2335819
Baleshwar,Orissa,2320529
Kheda,Gujarat,2299885
Gurdaspur,Punjab,2298323
Purbi Singhbhum,Jharkhand,2293919
South West Delhi,Delhi,2292958
Erode,Tamil Nadu,2251744
Khordha,Orissa,2251673
North East Delhi,Delhi,2241624
Supaul,Bihar,2229076
Satna,Madhya Pradesh,2228935
Nawada,Bihar,2219146
Mau,Uttar Pradesh,2205968
Chandrapur,Maharashtra,2204307
Jalandhar,Punjab,2193590
Dhar,Madhya Pradesh,2185793
Bijapur,Karnataka,2177331
Jamnagar,Gujarat,2160119
Dindigul,Tamil Nadu,2159775
Balrampur,Uttar Pradesh,2148665
Jhunjhunun,Rajasthan,2137045
Alappuzha,Kerala,2127789
Dohad,Gujarat,2127086
Sundargarh,Orissa,2093437
Anand,Gujarat,2092745
Kachchh,Gujarat,2092371
Chhindwara,Madhya Pradesh,2090922
Dakshina Kannada,Karnataka,2089649
Bokaro,Jharkhand,2062330
Dhule,Maharashtra,2050862
Churu,Rajasthan,2039547
Pali,Rajasthan,2037573
Mahesana,Gujarat,2035064
Banka,Bihar,2034763
Gwalior,Madhya Pradesh,2032036
Pilibhit,Uttar Pradesh,2031007
Firozpur,Punjab,2029074
Madhepura,Bihar,2001762
Jhansi,Uttar Pradesh,1998603
Ujjain,Madhya Pradesh,1986864
Kottayam,Kerala,1974551
Ganganagar,Rajasthan,1969168
Morena,Madhya Pradesh,1965970
Jalna,Maharashtra,1959046
Chandauli,Uttar Pradesh,1952756
Kota,Rajasthan,1951014
Dhubri,Assam,1949258
Davanagere,Karnataka,1945497
Virudhunagar,Tamil Nadu,1942288
Palamu,Jharkhand,1939869
